Participant_ID,Delay,"Response(N(no response) / C(correct response) / W(wrong response)/ U(sorry, I can't understand))",Talk_Type,Rounds No. of this talk,Repetition,rounds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
21826,3,U,T,10.1,1,,,,,,,,,,
21826,3,U,T,10.2,,2,,,,,,,,,
21826,2,C,T,11.1,,,,,,,,,,,
21826,3,W,T,11.2,,,,,,,,,,,
21826,2,C,T,11.3,,3,,,,,,,,,
22318,-1,U,T,1.1,5,,,,,,,,,,
22318,2,C,T,1.2,,,,,,,,,,,
22318,1,C,T,1.3,,,,,,,,,,,
22318,2,W,T,1.4,,,,,,,,,,,
22318,1,OK. ,T,1.5,,,,,,,,,,,
22318,1,C,T,1.6,,,,,,,,,,,
22318,2,U,T,1.7,,,,,,,,,,,
22318,1,W,T,1.8,,,,,,,,,,,
22318,1,W,T,1.9,,,,,,,,,,,
22318,2,W,T,1.10,,,,,,,,,,,
22318,1,W,T,1.11,,11,,,,,,,,,
22318,2,C,T,2.1,,,,,,,,,,,
22318,2,C,T,2.2,,,,,,,,,,,
22318,1,U,T,2.3,,,,,,,,,,,
22318,1,C,T,2.4,,,,,,,,,,,
22318,3,C,T,2.5,,,,,,,,,,,
22318,1,C,T,2.6,,,,,,,,,,,
22318,2,W,T,2.7,,,,,,,,,,,
22318,2,U,T,2.8,,,,,,,,,,,
22318,,N,T,2.9,,9,,,,,,,,,
22318,1,C,T,3.1,,,,,,,,,,,
22318,1,C,T,3.2,,,,,,,,,,,
22318,2,U,T,3.3,,,,,,,,,,,
22318,1,U,T,3.4,,,,,,,,,,,
22318,,N,T,3.5,,5,,,,,,,,,
22318,4,N,T,4.1,1,,,,,,,,,,
22318,2,N,T,4.2,,,,,,,,,,,
22318,5,N,T,4.3,,,,,,,,,,,
22318,1,C,T,4.4,,,,,,,,,,,
